"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT""20230419 10:01:23,1989.73,1990.27,1990.49,29217.8,29209.6,29233.1,95.15,95.14"
"20230419 10:23:11,1979.77,1979.48,1979.72,29163.8,29154.0,29180.1,95.22,95.17"
"20230419 10:23:22,1982.8,1982.37,1982.82,29195.4,29193.4,29205.6,95.33,95.25"
"20230419 10:23:34,1983.21,1982.76,1982.82,29195.6,29189.7,29206.4,95.31,95.15"
"20230419 10:23:45,1980.54,1980.34,1980.22,29175.8,29168.8,29186.1,95.19,95.14"
"20230419 10:23:56,1980.54,1980.34,1980.22,29175.8,29165.1,29186.1,95.19,95.13"
"20230419 10:24:07,1981.59,1981.46,1981.05,29177.0,29169.2,29187.6,95.26,95.18"
"20230419 10:24:19,1980.87,1980.52,1980.42,29175.4,29169.2,29186.1,95.2,95.14"
"20230419 10:24:30,1981.4,1981.09,1980.82,29190.7,29179.9,29195.1,95.23,95.18"
"20230419 10:24:41,1981.11,1980.53,1980.82,29187.9,29177.4,29195.1,95.18,95.11"
"20230419 10:24:53,1981.19,1981.22,1980.82,29190.2,29179.8,29198.4,95.22,95.14"
"20230419 10:25:04,1981.86,1981.75,1981.42,29208.1,29199.0,29214.3,95.29,95.22"
"20230419 10:25:15,1982.49,1981.99,1981.62,29205.8,29199.0,29210.4,95.28,95.2"
"20230419 10:25:26,1982.46,1981.81,1981.98,29210.0,29199.2,29213.4,95.29,95.2"
"20230419 10:25:38,1981.44,1981.32,1981.22,29202.4,29193.7,29210.4,95.23,95.15"
"20230419 10:25:49,1981.62,1981.53,1981.62,29206.2,29197.6,29210.4,95.29,95.22"
"20230419 10:26:00,1982.14,1982.07,1982.12,29207.2,29202.8,29216.4,95.33,95.25"
"20230419 10:26:11,1982.51,1982.36,1982.12,29207.8,29202.7,29214.9,95.33,95.28"
"20230419 10:26:23,1981.41,1981.28,1981.22,29208.6,29202.0,29213.5,95.21,95.16"
"20230419 10:26:34,1981.4,1981.18,1981.02,29202.9,29199.9,29211.1,95.23,95.17"
"20230419 10:26:45,1981.4,1980.93,1980.82,29202.9,29196.0,29210.4,95.23,95.17"
"20230419 10:26:57,1981.4,1981.34,1981.22,29202.9,29194.9,29210.4,95.28,95.23"
"20230419 10:27:08,1981.44,1981.13,1981.23,29208.0,29199.8,29211.8,95.29,95.22"
"20230419 10:27:20,1981.91,1981.48,1981.42,29210.2,29202.9,29214.8,95.32,95.27"
