"Time,ETH_USD,ETH_USDT,ETH_USDC,BTC_USD,BTC_USDT,BTC_USDC,LTC_USD,LTC_USDT"
"20230223 22:33:57,1644.41,1643.87,1644.25,23828.5,23819.8,23824.9,94.1,94.1"
"20230223 22:34:57,1643.41,1643.16,1643.54,23826.1,23819.1,23821.1,94.11,94.1"
"20230224 08:01:22,1652.26,1652.2,1652.6,23846.6,23834.9,23847.4,94.0,94.0"
"20230224 08:02:23,1653.12,1652.71,1653.02,23843.4,23835.4,23844.5,94.05,94.03"
"20230224 08:03:23,1652.08,1651.68,1651.94,23833.0,23825.0,23833.3,93.98,93.98"
"20230224 08:04:24,1656.28,1655.79,1655.5,23869.9,23859.2,23869.1,94.16,94.16"
"20230224 08:05:24,1655.33,1654.97,1655.35,23865.4,23855.6,23865.8,94.18,94.16"
"20230224 08:06:25,1654.7,1654.18,1654.42,23848.0,23838.3,23849.9,94.09,94.08"
"20230224 08:07:25,1652.89,1652.54,1653.01,23830.6,23823.5,23831.3,93.99,93.98"
"20230224 08:08:26,1652.92,1652.4,1652.8,23830.3,23817.8,23831.5,93.98,93.98"
"20230224 08:09:26,1651.86,1651.4,1651.88,23817.8,23809.1,23822.3,93.96,93.95"
"20230224 08:10:27,1650.87,1651.25,1651.37,23806.0,23790.5,23804.2,93.93,93.93"
"20230224 08:11:28,1650.99,1651.02,1651.18,23804.3,23796.0,23804.2,93.91,93.94"
"20230224 08:12:29,1648.96,1649.0,1649.41,23791.8,23781.6,23800.0,93.89,93.91"
"20230224 08:13:29,1647.04,1647.17,1647.44,23779.2,23766.3,23785.7,93.83,93.85"
"20230224 08:14:31,1645.55,1646.52,1646.66,23774.5,23770.0,23781.8,93.83,93.85"
"20230224 08:15:31,1647.19,1647.27,1647.49,23786.8,23779.8,23789.0,93.77,93.8"
"20230224 08:16:32,1646.59,1646.68,1646.72,23775.9,23770.6,23774.2,93.72,93.76"
"20230224 08:17:33,1646.82,1647.0,1647.17,23774.7,23766.9,23773.5,93.73,93.75"
"20230224 08:18:34,1647.81,1648.1,1648.19,23784.7,23777.4,23779.2,93.77,93.8"
"20230224 08:19:34,1648.58,1648.8,1648.83,23794.9,23784.4,23791.1,93.77,93.77"
"20230224 08:20:35,1648.64,1648.79,1648.82,23792.5,23785.3,23789.1,93.8,93.8"
"20230224 08:21:35,1648.92,1649.01,1649.01,23797.8,23792.8,23797.0,93.84,93.82"
"20230224 08:22:36,1649.14,1649.15,1649.23,23795.3,23789.6,23793.6,93.86,93.85"
"20230224 08:23:36,1649.7,1649.9,1649.87,23805.9,23797.7,23802.6,93.9,93.89"
"20230224 08:24:38,1649.56,1649.85,1649.76,23801.1,23795.0,23801.0,93.95,93.93"
"20230224 08:25:38,1647.88,1648.0,1648.46,23784.5,23770.2,23781.7,93.76,93.75"
"20230224 08:26:39,1650.05,1650.0,1650.16,23822.3,23809.7,23813.3,93.88,93.87"
"20230224 08:27:39,1651.35,1651.39,1651.34,23834.0,23826.0,23829.8,94.02,94.02"
"20230224 08:28:40,1651.01,1650.92,1651.0,23825.4,23818.8,23823.1,94.0,94.0"
"20230224 08:29:41,1652.48,1652.8,1652.48,23849.4,23844.2,23843.0,94.09,94.07"
"20230224 08:30:42,1653.8,1653.59,1653.99,23853.6,23848.8,23852.0,94.12,94.09"
"20230224 08:31:42,1654.0,1654.39,1654.27,23867.5,23865.0,23863.2,94.12,94.11"
"20230224 08:32:43,1657.06,1656.49,1656.71,23934.6,23926.0,23930.3,94.2,94.19"
"20230224 08:33:44,1657.46,1657.19,1657.38,23937.3,23927.9,23938.2,94.29,94.27"
"20230224 08:50:22,1652.58,1652.04,1652.52,23872.3,23868.2,23875.6,94.1,94.08"
"20230224 08:51:22,1652.99,1652.57,1653.03,23886.7,23879.9,23887.9,94.14,94.12"
"20230224 08:52:22,1654.33,1653.99,1654.11,23899.9,23895.4,23903.0,94.2,94.18"
"20230224 08:53:23,1653.07,1652.74,1653.01,23883.3,23878.1,23883.1,94.15,94.11"
"20230224 08:54:24,1653.9,1653.64,1653.8,23897.9,23893.6,23897.8,94.2,94.18"
"20230224 08:55:24,1653.9,1653.43,1653.73,23890.1,23884.2,23890.8,94.17,94.13"
"20230224 08:56:25,1653.44,1652.8,1653.54,23889.1,23885.0,23889.0,94.12,94.1"
"20230224 08:57:26,1653.85,1653.45,1653.52,23898.9,23892.8,23896.0,94.1,94.09"
"20230224 08:58:27,1654.37,1654.16,1654.13,23911.4,23901.9,23909.1,94.09,94.1"
"20230224 08:59:27,1654.23,1653.79,1654.11,23904.9,23897.4,23905.5,94.1,94.08"
"20230224 09:00:28,1654.93,1654.49,1654.74,23915.1,23910.7,23911.8,94.2,94.19"
"20230224 09:01:29,1654.94,1654.43,1654.58,23915.9,23913.5,23911.8,94.21,94.21"
"20230224 09:02:29,1654.71,1654.29,1654.44,23918.8,23914.1,23914.7,94.27,94.24"
"20230224 09:03:30,1655.86,1655.59,1655.7,23933.4,23926.0,23925.5,94.32,94.29"
"20230224 09:04:31,1656.29,1655.89,1655.93,23939.7,23933.6,23930.3,94.36,94.34"
"20230224 09:05:32,1654.59,1654.26,1654.52,23914.7,23909.9,23909.8,94.28,94.26"
